Site;Layer LTE;LTE detail;CelleLTE_Configurate;Admnistrative_State;Baseband 5216;Baseband 6620;Baseband 6630;Baseband R503;Presenza Baseband;DUS3101;DUS3102;DUS4101;DUS4102;Presenza DUS;#Radio;#RRU;#RU;BB/DU Presenti;0
MX41;2;L8L18;9;9;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
MX42;2;L18L26;9;9;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
MX43;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
MX44;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
MX45;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
MX46;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;;12;;BB6630;
MX47;2;L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
MX48;5;L8L15L18L21L26;15;15;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;15;;;BB6630;
MX49;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MX4A;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MX4B;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
MX4C;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
MX4D;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
MX4E;1;L26;1;1;;;;;;;;1;;#1 DUS4101;;;2;DUS41;
MX4F;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MX52;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;;3;12;BB6630;
MX53;2;L18L26;9;7;;;1;;#1 Baseband 6630;;;;;;4;;6;BB6630;
MX55;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
MX56;2;L18L26;7;7;;;;;;;;1;;#1 DUS4101;4;;;DUS41;
MX57;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MX58;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
MX59;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
MX5A;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
MX5B;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
MX5D;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
MX5F;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;;;3;BB6630;
MX60;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
MX61;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
MX62;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
MX64;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
MX67;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;2;DUS41;
MX69;1;L26;2;2;;;1;;#1 Baseband 6630;;;;;;;2;;BB6630;
MX6B;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MX6E;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MX71;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MX72;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
MX74;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MX76;2;L18L26;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
MX77;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
MX79;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
MX7A;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MX7D;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MX7E;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MX7F;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MX83;1;L8;2;2;1;;;;#1 Baseband 5216;;;;;;1;;;BB5216;
MX84;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
MX85;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MX86;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;;;6;BB6630;
MX87;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
MX88;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;3;6;DUS41;
MX89;2;L18L26;2;2;;;;;;;;;1;#1 DUS4102;1;;2;DUS41;
MX8C;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;;;3;BB6630;
MX8D;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
MX8F;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;;3;;BB6630;
MX91;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;;3;6;BB5216;
MX92;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
MX93;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
MX94;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;4;;;DUS41;
MX95;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;;6;;BB6630;
MX96;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MX97;4;L8L18L21L26;12;12;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;10;;;BB6630;
MX98;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;7;;;BB6630;
MX99;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;;9;;BB6630;
MX9B;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;8;;;BB6630;
MXA1;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MXA2;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MXA3;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MXA4;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MXA5;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MXA8;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MXA9;2;L18L26;5;5;;;;;;;;1;;#1 DUS4101;;;9;DUS41;
MXB0;2;L8L21;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
MXB1;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
MXB5;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MXB7;4;L8L18L21L26;12;0;;1;1;;#1 Baseband 6620 #1 Baseband 6630;;;;;;10;;;BB6630;
MXB9;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MXC0;1;L8;1;0;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
MXC3;4;L8L18L21L26;12;12;;1;1;;#1 Baseband 6620 #1 Baseband 6630;;;;;;11;;;BB6630;
MXC4;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
MXC6;4;L8L18L21L26;13;13;1;;1;1;#1 Baseband 5216 #1 Baseband 6630 #1 Baseband R503;;;;;;13;;;BB6630;
MXC7;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
MXC9;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
MXD2;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MXD3;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MXD7;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MXD8;1;L18;2;2;;;;;;;;1;;#1 DUS4101;;4;;DUS41;
MXD9;2;L18L21;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
MXDB;1;L18;1;1;;;1;;#1 Baseband 6630;;;;;;1;;;BB6630;
MXDC;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MXDD;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MXDF;2;L18L21;4;4;;;;;;;;;1;#1 DUS4102;;;10;DUS41;
MXE1;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MXE5;1;L8;3;3;;;;;;;;;1;#1 DUS4102;;3;;DUS41;
MXE6;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MXE9;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
MXEC;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;3;;BB5216;
MXED;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
MXEF;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
MXF0;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
MXF3;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MXF6;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MXF7;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MXF8;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
MXFB;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
MXFD;2;L18L26;2;2;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
MXFF;2;L18L26;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
MY01;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
MY02;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MY03;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
MY04;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
MY06;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MY07;3;L8L18L26;9;9;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;3;9;;BB5216+R503;
MY08;2;L18L26;4;4;;;;;;;;;1;#1 DUS4102;;;8;DUS41;
MY11;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;;3;12;BB6630;
MY12;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MY13;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
MY14;2;L18L26;2;2;;;;;;;;1;;#1 DUS4101;1;2;;DUS41;
MY17;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MY19;3;L8L18L26;12;12;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
MY1C;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY1D;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY1E;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY1F;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY20;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
MY21;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MY22;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
MY24;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MY29;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MY2A;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY2B;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY2C;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY2D;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY2E;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY2F;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY30;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
MY31;1;L26;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MY32;2;L18L26;11;8;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;5;3;;BB5216+R503;
MY33;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MY34;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
MY35;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
MY3A;4;L8L15L18L26;8;8;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;12;;;BB5216+R503;
MY3D;4;L8L15L18L26;4;4;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;6;;;BB5216+R503;
MY42;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
MY43;3;L8L18L26;12;12;;;1;;#1 Baseband 6630;;;;;;3;3;6;BB6630;
MY44;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;;;12;BB6630;
MY46;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;9;;DUS41;
MY47;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
MY48;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;;3;;BB6630;
MY4C;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MY54;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
MY55;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
MY56;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;6;;BB6630;
MY57;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MY58;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MY59;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MY5E;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
MY62;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;;;12;BB5216;
MY63;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MY64;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
MY65;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;;;12;BB5216;
MY66;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MY6A;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
MY6B;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MY6C;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MY6D;1;L26;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MY72;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
MY73;1;L26;2;2;;;;;;;;1;;#1 DUS4101;2;;;DUS41;
MY75;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;8;;;BB6630;
MY76;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;6;;DUS41;
MY77;2;L8L18;6;6;;;;;;;;;1;#1 DUS4102;;;12;DUS41;
MY79;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MY80;2;L18L26;6;6;;;;;;;;1;;#1 DUS4101;;3;6;DUS41;
MY87;1;L26;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MY90;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
MY93;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MY95;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;6;;DUS41;
MYA1;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MYA2;1;L18;1;1;;;;;;;;;1;#1 DUS4102;;;1;DUS41;
MYA3;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MYA4;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MYA5;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MYA6;1;L26;1;1;;;;;;;;1;;#1 DUS4101;;;2;DUS41;
MYA7;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MYA8;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MYA9;1;L26;1;1;;;;;;;;1;;#1 DUS4101;;;2;DUS41;
MYAA;1;L18;1;1;;;;;;;;1;;#1 DUS4101;;;1;DUS41;
MYAF;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MYBA;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MYC5;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
MYC6;1;L26;1;1;;;;;;;;1;;#1 DUS4101;;;2;DUS41;
MYCF;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
MYD0;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MYD5;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;3;DUS41;
MYD6;2;L18L26;2;2;1;;;;#1 Baseband 5216;;;;;;4;;;BB5216;
MYD7;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;3;;DUS41;
MYD8;3;L8L18L26;16;16;1;;;2;#1 Baseband 5216 #2 Baseband R503;;;;;;7;6;;BB5216+R503;
MYDB;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MYE1;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;;;12;BB6630;
MYEE;1;L18;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
MYEF;1;L26;2;2;1;;;;#1 Baseband 5216;;;;;;2;;;BB5216;
MYF0;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MYF1;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
MYF4;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MYF5;4;L8L15L18L26;15;15;;;1;;#1 Baseband 6630;;;;;;12;;;BB6630;
MYF6;3;L8L18L26;12;12;1;;;1;#1 Baseband 5216 #1 Baseband R503;;;;;;6;3;;BB5216+R503;
MYF7;2;L18L26;3;3;1;;;;#1 Baseband 5216;;;;;;1;1;;BB5216;
MYF9;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MYFB;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MYFC;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;5;;;BB6630;
MZ01;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
MZ07;1;L21;3;3;;;1;;#1 Baseband 6630;;;;;;;;3;BB6630;
MZ08;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
MZ09;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;3;3;6;BB6630;
MZ0A;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;;6;BB5216;
MZ0E;2;L18L26;6;6;1;;;;#1 Baseband 5216;;;;;;6;;;BB5216;
MZ11;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MZ12;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ13;1;L8;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
MZ14;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MZ15;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;3;;6;BB6630;
MZ18;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ1B;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
MZ21;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;;;12;BB5216;
MZ22;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
MZ23;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;9;;;BB6630;
MZ24;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MZ25;1;L8;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MZ27;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;3;;DUS41;
MZ28;3;L8L18L26;11;11;;;1;;#1 Baseband 6630;;;;;;5;;12;BB6630;
MZ29;2;L8L18;6;6;;;1;;#1 Baseband 6630;;;;;;3;3;;BB6630;
MZ2D;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
MZ2E;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ30;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ31;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
MZ32;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MZ35;3;L18L21L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
MZ36;3;L8L18L26;12;12;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
MZ37;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MZ38;1;L18;2;2;;;;;;;;;;;1;;1;non trovato;
MZ39;2;L18L21;4;4;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
MZ40;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;3;;6;DUS41;
MZ41;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MZ42;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
MZ44;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MZ45;1;L18;2;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
MZ46;1;L18;2;2;;;;;;;;;1;#1 DUS4102;;;4;DUS41;
MZ49;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;;12;DUS41;
MZ50;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MZ51;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MZ52;1;L8;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MZ53;4;L8L18L21L26;12;9;;;1;;#1 Baseband 6630;;;;;;3;;12;BB6630;
MZ55;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MZ58;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MZ59;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ5A;1;L8;3;2;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
MZ5B;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;3;;;BB5216;
MZ5C;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;2;;;BB6630;
MZ60;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;7;;;BB6630;
MZ61;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MZ63;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
MZ64;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ66;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;;3;6;BB5216;
MZ67;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;;3;6;BB5216;
MZ69;3;L8L18L26;9;9;;;1;;#1 Baseband 6630;;;;;;6;3;;BB6630;
MZ71;2;L8L18;6;6;;;;;;;;1;;#1 DUS4101;;3;6;DUS41;
MZ72;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ73;1;L8;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MZ74;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
MZ78;3;L8L18L21;7;7;;;1;;#1 Baseband 6630;;;;;;3;3;6;BB6630;
MZ7D;2;L18L21;6;6;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MZ7F;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ80;1;L18;3;3;;;;;;;;;1;#1 DUS4102;;;6;DUS41;
MZ81;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
MZ82;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MZ83;2;L8L18;6;6;1;;;;#1 Baseband 5216;;;;;;3;3;;BB5216;
MZ85;1;L18;3;3;1;;;;#1 Baseband 5216;;;;;;;;6;BB5216;
MZ90;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ91;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MZ93;3;L8L18L21;9;9;;;1;;#1 Baseband 6630;;;;;;7;;;BB6630;
MZ94;1;L18;1;1;;;;;;;;;;;;;1;non trovato;
MZ95;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MZ96;1;L18;3;3;;;;;;;;1;;#1 DUS4101;;;6;DUS41;
MZ97;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
MZ98;1;L18;3;3;;;1;;#1 Baseband 6630;;;;;;3;;;BB6630;
MZ99;3;L18L21L26;9;9;;;2;;#2 Baseband 6630;;;;;;6;;;BB6630;
MZ9A;2;L18L26;4;4;;;1;;#1 Baseband 6630;;;;;;4;;;BB6630;
MZ9B;1;L18;1;1;1;;;;#1 Baseband 5216;;;;;;1;;;BB5216;
MZ9F;2;L18L21;6;6;;;1;;#1 Baseband 6630;;;;;;6;;;BB6630;
MZAB;4;L8L18L21L26;12;11;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
MZAC;4;L8L18L21L26;12;12;;1;1;;#1 Baseband 6620 #1 Baseband 6630;;;;;;10;;;BB6630;
MZAD;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;9;;;BB6630;
MZB1;4;L8L18L21L26;12;12;;1;1;;#1 Baseband 6620 #1 Baseband 6630;;;;;;10;;;BB6630;
MZB4;4;L8L18L21L26;12;12;;;2;;#2 Baseband 6630;;;;;;10;;;BB6630;
MZB7;4;L8L18L21L26;12;12;;1;1;;#1 Baseband 6620 #1 Baseband 6630;;;;;;10;;;BB6630;
